Index;id;minutes;submitted;n_steps;n_ingredients;year;calories;total_fat;sugar;sodium;protein;saturated_fat;carbohydrates;healthy
216563;357001;90;21/02/2009;15;12;2009;440,2;35;18;32;73;47;7;FALSE
216564;417286;35;21/03/2010;9;11;2010;569,9;76;35;65;22;90;7;FALSE
216566;453032;30;04/04/2011;13;12;2011;474;39;109;6;61;48;10;FALSE
216583;411472;95;02/02/2010;21;20;2010;441,3;37;68;46;51;37;10;FALSE
216604;358939;50;04/03/2009;17;9;2009;238,1;9;12;9;10;4;15;FALSE
216611;367734;100;24/04/2009;18;9;2009;418;49;80;10;14;95;9;FALSE
216615;403539;24;14/12/2009;13;12;2009;202,8;15;68;7;6;27;8;FALSE
216620;486307;60;03/09/2012;19;15;2012;1352,7;127;459;32;27;134;49;FALSE
216622;435188;120;16/08/2010;12;8;2010;291,1;32;53;15;9;24;7;FALSE
216623;505665;55;11/08/2013;13;7;2013;281,7;29;10;42;12;54;7;FALSE
216624;424117;85;09/05/2010;11;16;2010;665;60;25;69;77;86;12;FALSE
216625;489472;40;29/10/2012;8;18;2012;995,1;88;24;83;95;138;25;FALSE
216633;482852;25;10/07/2012;7;8;2012;555;30;11;5;34;20;25;FALSE
216638;376504;45;09/06/2009;20;15;2009;699,5;41;302;13;14;45;36;FALSE
216641;377841;60;20/06/2009;14;7;2009;510;51;170;10;12;85;16;FALSE
216651;479982;35;26/05/2012;7;7;2012;270,3;16;3;1;34;8;8;FALSE
216670;501168;40;30/05/2013;5;7;2013;458,5;9;124;9;10;28;27;TRUE
216681;407915;30;11/01/2010;3;6;2010;150,4;20;20;10;5;23;2;FALSE
216688;407390;60;08/01/2010;7;8;2010;410,5;42;28;22;60;67;3;FALSE
216690;354048;32;05/02/2009;10;15;2009;334,6;19;53;56;65;12;7;FALSE
216716;350141;50;16/01/2009;11;8;2009;187,1;9;82;1;3;18;11;TRUE
216733;379832;100;01/07/2009;18;22;2009;194,3;6;55;13;25;4;9;FALSE
216743;457881;140;03/06/2011;13;13;2011;305,1;2;201;7;17;3;22;TRUE
